avouer avoue avoues avoue avouons avouez avouent avouais avouais avouait avouions avouiez avouaient avouerai avoueras avouera avouerons avouerez avoueront avouai avouas avoua avouâmes avouâtes avouèrent avouerais avouerais avouerait avouerions avoueriez avoueraient avoue avoues avoue avouions avouiez avouent avouasse avouasses avouât avouassions avouassiez avouassent avoue avouons avouez avouant avoué avoués avouée avouées 
baisser baisse baisses baisse baissons baissez baissent baissais baissais baissait baissions baissiez baissaient baisserai baisseras baissera baisserons baisserez baisseront baissai baissas baissa baissâmes baissâtes baissèrent baisserais baisserais baisserait baisserions baisseriez baisseraient baisse baisses baisse baissions baissiez baissent baissasse baissasses baissât baissassions baissassiez baissassent baisse baissons baissez baissant baissé baissés baissée baissées 
battre bats bats bat battons battez battent battais battais battait battions battiez battaient battrai battras battra battrons battrez battront battis battis battit battîmes battîtes battirent battrais battrais battrait battrions battriez battraient batte battes batte battions battiez battent battisse battisses battît battissions battissiez battissent bats battons battez battant battu battus battue battues 
boire bois bois boit buvons buvez boivent buvais buvais buvait buvions buviez buvaient boirai boiras boira boirons boirez boiront bus bus but bûmes bûtes burent boirais boirais boirait boirions boiriez boiraient boive boives boive buvions buviez boivent busse busses bût bussions bussiez bussent bois buvons buvez buvant bu bus bue bues 
briller brille brilles brille brillons brillez brillent brillais brillais brillait brillions brilliez brillaient brillerai brilleras brillera brillerons brillerez brilleront brillai brillas brilla brillâmes brillâtes brillèrent brillerais brillerais brillerait brillerions brilleriez brilleraient brille brilles brille brillions brilliez brillent brillasse brillasses brillât brillassions brillassiez brillassent brille brillons brillez brillant brillé brillés brillée brillées 
briser brise brises brise brisons brisez brisent brisais brisais brisait brisions brisiez brisaient briserai briseras brisera briserons briserez briseront brisai brisas brisa brisâmes brisâtes brisèrent briserais briserais briserait briserions briseriez briseraient brise brises brise brisions brisiez brisent brisasse brisasses brisât brisassions brisassiez brisassent brise brisons brisez brisant brisé brisés brisée brisées 
brûler brûle brûles brûle brûlons brûlez brûlent brûlais brûlais brûlait brûlions brûliez brûlaient brûlerai brûleras brûlera brûlerons brûlerez brûleront brûlai brûlas brûla brûlâmes brûlâtes brûlèrent brûlerais brûlerais brûlerait brûlerions brûleriez brûleraient brûle brûles brûle brûlions brûliez brûlent brûlasse brûlasses brûlât brûlassions brûlassiez brûlassent brûle brûlons brûlez brûlant brûlé brûlés brûlée brûlées 
cacher cache caches cache cachons cachez cachent cachais cachais cachait cachions cachiez cachaient cacherai cacheras cachera cacherons cacherez cacheront cachai cachas cacha cachâmes cachâtes cachèrent cacherais cacherais cacherait cacherions cacheriez cacheraient cache caches cache cachions cachiez cachent cachasse cachasses cachât cachassions cachassiez cachassent cache cachons cachez cachant caché cachés cachée cachées 
calmer calme calmes calme calmons calmez calment calmais calmais calmait calmions calmiez calmaient calmerai calmeras calmera calmerons calmerez calmeront calmai calmas calma calmâmes calmâtes calmèrent calmerais calmerais calmerait calmerions calmeriez calmeraient calme calmes calme calmions calmiez calment calmasse calmasses calmât calmassions calmassiez calmassent calme calmons calmez calmant calmé calmés calmée calmées 
caresser caresse caresses caresse caressons caressez caressent caressais caressais caressait caressions caressiez caressaient caresserai caresseras caressera caresserons caresserez caresseront caressai caressas caressa caressâmes caressâtes caressèrent caresserais caresserais caresserait caresserions caresseriez caresseraient caresse caresses caresse caressions caressiez caressent caressasse caressasses caressât caressassions caressassiez caressassent caresse caressons caressez caressant caressé caressés caressée caressées 
casser casse casses casse cassons cassez cassent cassais cassais cassait cassions cassiez cassaient casserai casseras cassera casserons casserez casseront cassai cassas cassa cassâmes cassâtes cassèrent casserais casserais casserait casserions casseriez casseraient casse casses casse cassions cassiez cassent cassasse cassasses cassât cassassions cassassiez cassassent casse cassons cassez cassant cassé cassés cassée cassées 
causer cause causes cause causons causez causent causais causais causait causions causiez causaient causerai causeras causera causerons causerez causeront causai causas causa causâmes causâtes causèrent causerais causerais causerait causerions causeriez causeraient cause causes cause causions causiez causent causasse causasses causât causassions causassiez causassent cause causons causez causant causé causés causée causées 
céder cède cèdes cède cédons cédez cèdent cédais cédais cédait cédions cédiez cédaient céderai cèderai céderas cèderas cédera cèdera céderons cèderons céderez cèderez céderont cèderont cédai cédas céda cédâmes cédâtes cédèrent céderais cèderais céderais cèderais céderait cèderait céderions cèderions céderiez cèderiez céderaient cèderaient cède cèdes cède cédions cédiez cèdent cédasse cédasses cédât cédassions cédassiez cédassent cède cédons cédez cédant cédé cédés cédée cédées 
cesser cesse cesses cesse cessons cessez cessent cessais cessais cessait cessions cessiez cessaient cesserai cesseras cessera cesserons cesserez cesseront cessai cessas cessa cessâmes cessâtes cessèrent cesserais cesserais cesserait cesserions cesseriez cesseraient cesse cesses cesse cessions cessiez cessent cessasse cessasses cessât cessassions cessassiez cessassent cesse cessons cessez cessant cessé cessés cessée cessées 
changer change changes change changeons changez changent changeais changeais changeait changions changiez changeaient changerai changeras changera changerons changerez changeront changeai changeas changea changeâmes changeâtes changèrent changerais changerais changerait changerions changeriez changeraient change changes change changions changiez changent changeasse changeasses changeât changeassions changeassiez changeassent change changeons changez changeant changé changés changée changées 
chanter chante chantes chante chantons chantez chantent chantais chantais chantait chantions chantiez chantaient chanterai chanteras chantera chanterons chanterez chanteront chantai chantas chanta chantâmes chantâtes chantèrent chanterais chanterais chanterait chanterions chanteriez chanteraient chante chantes chante chantions chantiez chantent chantasse chantasses chantât chantassions chantassiez chantassent chante chantons chantez chantant chanté chantés chantée chantées 
charger charge charges charge chargeons chargez chargent chargeais chargeais chargeait chargions chargiez chargeaient chargerai chargeras chargera chargerons chargerez chargeront chargeai chargeas chargea chargeâmes chargeâtes chargèrent chargerais chargerais chargerait chargerions chargeriez chargeraient charge charges charge chargions chargiez chargent chargeasse chargeasses chargeât chargeassions chargeassiez chargeassent charge chargeons chargez chargeant chargé chargés chargée chargées 
